beta_I,beta_FR,phi0,theta_N,alpha,gamma_comm,delta_C,phi_obs,R0
0.91695449,1.9244838,0.53911534,0.03025078,0.019311048,0.068598172,0.016663729,0.76005308,2.7448453
0.90407916,1.608661,0.4561929,0.045827262,0.026087475,0.042470539,0.012520609,0.55631116,2.4417727
0.90708663,1.5050102,0.43659415,0.036417877,0.025398257,0.076143225,0.026707383,0.48531098,2.4464284
0.95496009,1.7987127,0.43589545,0.044447562,0.012748894,0.063052131,0.011804268,0.72592093,2.5528575
0.91403598,1.5047262,0.39802452,0.036912695,0.030642695,0.082122401,0.02558078,0.42997563,2.3946031
0.88791121,1.8284047,0.4205983,0.046526036,0.034231412,0.065441083,0.0313186,0.52873274,2.3591929
0.90864491,1.9207667,0.38025275,0.043311558,0.029592564,0.070811264,0.02155394,0.49577632,2.3574053
0.94854443,1.8756543,0.45821379,0.047202869,0.025368113,0.07522558,0.017931189,0.76090065,2.573053
0.94879724,1.5920445,0.53621142,0.040611483,0.033334853,0.080433222,0.013063754,0.50769605,2.7190945
0.88237723,1.7630969,0.44977073,0.047773201,0.026189853,0.080497299,0.021917137,0.5323918,2.3848188
0.91132362,1.8748156,0.5342025,0.032950235,0.042949845,0.07842927,0.014347558,0.60142146,2.6979228
0.91349057,1.6289938,0.46898966,0.041840075,0.010490561,0.055977257,0.012334229,0.70776458,2.5066447
0.91074826,1.6435827,0.58555665,0.035812192,0.011043329,0.07487658,0.021208318,0.68522546,2.7471572
0.90818562,1.6861268,0.59173026,0.041451566,0.013726458,0.062182356,0.014081651,0.77327715,2.7250938
0.89031461,1.8773799,0.4954429,0.040315766,0.011860475,0.075778818,0.034745252,0.67259428,2.5309968
0.93559156,1.3733236,0.41476719,0.040398653,0.028885114,0.084576455,0.010156864,0.60991734,2.4500726
0.89860498,1.8138143,0.41489939,0.044514769,0.012586021,0.076470597,0.025856633,0.67461781,2.3815248
1.0023684,1.6584238,0.45835207,0.038194794,0.011737005,0.08825305,0.013845912,0.64824126,2.7268994
0.89083993,1.8710857,0.428528,0.039493573,0.049151511,0.056749369,0.016608553,0.60686837,2.412489
0.9548342,1.8224693,0.45781616,0.045770167,0.013159868,0.06664319,0.012462909,0.77570735,2.5889983
0.97131732,1.7604369,0.34356299,0.044036779,0.025801227,0.071337742,0.023166879,0.50694896,2.424858
0.89790933,1.585919,0.39334881,0.048364579,0.012680169,0.073781029,0.018664929,0.47532305,2.311669
0.94672782,1.7530147,0.43360366,0.034110738,0.019650165,0.03563277,0.013670749,0.47284892,2.5712266
0.92763837,1.3354061,0.44657928,0.029320656,0.041906234,0.091494596,0.014662825,0.97716927,2.5309905
0.95336026,1.43486,0.49872546,0.039061833,0.025970378,0.095872096,0.016906448,0.72035939,2.6515369
0.89153247,2.078605,0.45020479,0.038056338,0.027535496,0.04170479,0.019932041,0.53514056,2.4804318
0.94677531,1.8681192,0.3667252,0.033248056,0.022541664,0.095395815,0.029784414,0.65197267,2.4570425
0.95794261,2.2480937,0.32700832,0.042758646,0.013592207,0.094665532,0.014486873,0.5610104,2.3965391
0.93364902,2.0477611,0.34739719,0.04493912,0.02891332,0.082180023,0.06572298,0.51052279,2.359471
0.93416255,1.4095498,0.5325795,0.032512901,0.045992239,0.095163278,0.011130082,0.6020582,2.6958602
0.93657311,1.2331801,0.51245896,0.032269243,0.029653017,0.095522473,0.029616029,0.60497629,2.6450481
0.92136632,2.002229,0.41742288,0.047018904,0.014411974,0.057438149,0.010385841,0.61696511,2.4456702
0.91858536,1.6435068,0.44417947,0.044206271,0.020795759,0.056926986,0.011904255,0.50320396,2.4666567
0.96039104,1.6529993,0.4870546,0.035198944,0.015870014,0.084755615,0.016352028,0.78998127,2.6921244
0.94429883,1.2323956,0.48512345,0.045394052,0.031840674,0.084345929,0.014923725,0.80482473,2.5525919
0.92452527,2.278555,0.38667334,0.030418662,0.015942756,0.05506281,0.015968421,0.56678596,2.4853982
0.87927455,1.3242651,0.50515109,0.029210677,0.032752057,0.077931663,0.017347961,0.57506275,2.5109686
0.89373268,1.2706959,0.53597299,0.023851065,0.015657758,0.04374193,0.014186489,0.55741142,2.6258699
0.9105172,1.6599,0.54166409,0.028193985,0.019205273,0.069572267,0.014681877,0.50542826,2.708972
0.85785316,1.4441621,0.44948142,0.041978322,0.03533488,0.06425154,0.035389153,0.64451235,2.3185746
0.92313579,1.5481234,0.50143786,0.039054398,0.0151702,0.062644834,0.011259641,0.58471398,2.5930719
0.86860175,2.2848092,0.4970354,0.036512851,0.030225293,0.061460254,0.025090335,0.57465365,2.5457408
0.86161579,1.6022076,0.53825198,0.037279112,0.015848445,0.047594696,0.013747027,0.5774963,2.5171674
0.8707799,1.5619523,0.55546195,0.03392665,0.022893764,0.061036187,0.012459757,0.55039952,2.5842789
1.0240127,1.5990886,0.34774126,0.046643599,0.016023637,0.077909161,0.016025908,0.68845998,2.533812
0.97036023,1.1510833,0.45888245,0.038610837,0.019765981,0.083903251,0.010364114,0.53829255,2.5969901
0.91528977,2.1490943,0.47489648,0.043815432,0.029217147,0.085330758,0.011331533,0.61726963,2.5669924
0.95773591,1.1973196,0.47021476,0.03188887,0.010751402,0.086756209,0.020759913,0.56621641,2.6222526
0.95991197,1.1616363,0.48529159,0.032085183,0.011586651,0.082560858,0.0358943,0.60120272,2.649583
0.97204873,1.2965936,0.49362033,0.025849676,0.01165608,0.07741844,0.018844845,0.46476646,2.7445843
0.91257387,1.7174062,0.41122028,0.054928749,0.030043476,0.039506342,0.016805062,0.80050608,2.3606613
0.94737766,1.457627,0.50294653,0.025532604,0.015612193,0.09568621,0.017727972,0.57656865,2.7193009
0.94138934,1.378436,0.49660111,0.026120065,0.015603446,0.094895782,0.018043386,0.62515714,2.6788982
0.93074317,1.7468643,0.38971388,0.029546962,0.053248261,0.085644999,0.012341928,0.55236525,2.4685889
0.92689444,1.6530289,0.52311268,0.046927936,0.010821664,0.056151617,0.01058445,0.74505754,2.6139835
0.92961838,1.7485446,0.39831646,0.027489145,0.035337975,0.076396511,0.012063025,0.56735748,2.4912476
0.9536635,1.5543147,0.36956803,0.033044184,0.025981237,0.062273386,0.011476587,0.5909411,2.4577118
0.90298047,1.807384,0.52254633,0.044759553,0.016378397,0.081701708,0.010689431,0.67197324,2.582514
0.95484438,1.7959043,0.46529966,0.031540244,0.025898879,0.092077823,0.010608932,0.64442569,2.6700091
0.92278397,1.6633373,0.45429125,0.024008478,0.027355235,0.087687498,0.022690217,0.57433335,2.5919135
0.9025784,1.774185,0.51229274,0.023135722,0.020836244,0.082021925,0.019944642,0.49329351,2.6734232
0.92568683,1.5787896,0.4058685,0.038479943,0.018948099,0.074296684,0.010415137,0.86618485,2.4355798
0.91183656,1.4968236,0.49098761,0.03366217,0.022170809,0.061435823,0.018723945,0.64104655,2.5668373
0.89923625,1.7785123,0.4572211,0.026006154,0.033729511,0.078283334,0.012136603,0.63963513,2.5399899
0.90594338,1.4087765,0.4311036,0.027118174,0.017613987,0.054325096,0.016490073,0.67312592,2.4662976
0.90608744,1.647768,0.44342001,0.034056514,0.015604766,0.057673247,0.014185791,0.75121573,2.4799185
0.9327524,1.728945,0.53731672,0.047573412,0.021013806,0.095094163,0.013614733,0.72025793,2.6603947
0.93163412,1.6515906,0.38657679,0.029608389,0.032516263,0.090348482,0.016276814,0.65716938,2.4572664
0.95036322,1.9468572,0.40625768,0.034275411,0.022655784,0.073082682,0.016190743,0.58205738,2.5433895
0.95412116,2.0045404,0.3803062,0.049230911,0.040703839,0.087813577,0.017670619,0.54514613,2.4471113
0.963876,1.6490957,0.33138856,0.039849942,0.041493568,0.080422726,0.013891135,0.5149546,2.3947463
0.9038504,1.7206908,0.55150014,0.03925028,0.010783817,0.074743159,0.011459926,0.85907504,2.6560931
0.91971774,1.7610514,0.49359973,0.046816006,0.011521982,0.068166271,0.013594253,0.73176733,2.5565009
0.92898016,1.7831305,0.43327654,0.036368498,0.022791734,0.056560282,0.016215655,0.73131312,2.5196107
0.92438507,1.8096886,0.4815308,0.050089393,0.013522292,0.039556436,0.016249945,0.66501961,2.5364226
0.89769203,1.6313344,0.46655392,0.025566922,0.034269134,0.097920243,0.015017677,0.58865222,2.5407658
0.95600582,1.3592909,0.43152705,0.055382403,0.015048093,0.038674125,0.011816483,0.63807474,2.4642229
0.94637857,1.7054018,0.4240615,0.029450883,0.012890873,0.088389785,0.024262894,0.47784964,2.5693902
0.94096806,1.6893515,0.40717691,0.044772814,0.018992707,0.037492227,0.011247422,0.6706555,2.4576125
0.89930553,1.609429,0.5135092,0.041978558,0.010897343,0.08622737,0.023559494,0.66760239,2.5469423
0.91572735,1.754788,0.37412208,0.035239419,0.043334871,0.079382967,0.013105727,0.60521201,2.381738
0.94070279,1.593354,0.58430604,0.033390985,0.014750951,0.084062923,0.010486075,0.72331733,2.8319614
0.84140376,2.0083171,0.50335907,0.037959465,0.027256137,0.052950453,0.016081792,0.82551544,2.4492589
1.0048843,1.4197297,0.41274533,0.037963553,0.017139558,0.085789828,0.013654795,0.51888686,2.6272912
0.87033172,1.909768,0.4343597,0.043847773,0.019716506,0.041869921,0.013578282,0.59510379,2.3588038
0.87168596,1.7836136,0.44664855,0.042772936,0.019015683,0.035082073,0.012392054,0.56652529,2.3763223
0.94961622,1.860945,0.4906208,0.044366487,0.011996106,0.073653306,0.011781387,0.74326307,2.6481171
0.94262022,1.8172722,0.45014473,0.047996082,0.015175675,0.059098344,0.013958355,0.6371885,2.5349303
0.91673109,1.8187534,0.44593503,0.029548914,0.020909306,0.078163106,0.021027365,0.64685149,2.5486601
0.90993292,1.8299148,0.42294037,0.028863571,0.015882324,0.078544963,0.014304801,0.63937321,2.4914278
0.93473269,1.4457931,0.48000867,0.045704395,0.026043097,0.079568682,0.011612229,0.69796405,2.5413451
1.0189655,2.0139987,0.36769947,0.036829324,0.019867294,0.077098911,0.010851004,0.59685295,2.6242189
0.99402162,1.8743283,0.40094063,0.044830907,0.021018934,0.081156724,0.01265897,0.55614445,2.5860665
0.89255472,1.8151596,0.56353594,0.031192139,0.020621965,0.068666199,0.011415221,0.70910903,2.7088253
0.9510659,1.6665798,0.39150413,0.03968779,0.028935838,0.095427155,0.01564113,0.70016317,2.4725871
0.95176575,1.813214,0.34932491,0.041436286,0.035202665,0.064917088,0.017018156,0.76731701,2.4024788
0.96719997,1.9513744,0.40803901,0.035149075,0.023260158,0.093806438,0.012366289,0.65493668,2.5839782
0.90824001,1.4503587,0.55035045,0.036135847,0.045197913,0.077152404,0.020245471,0.6267964,2.6458299
0.91219659,1.7981838,0.52873748,0.028383169,0.036850426,0.089185886,0.014774963,0.7829911,2.7051312
0.88634356,1.7488951,0.44534514,0.022652863,0.012655931,0.048385839,0.013470951,0.61335427,2.4975381
0.95781866,1.8319739,0.4532931,0.036515451,0.033356905,0.091577967,0.014110145,0.80720727,2.6325574
0.91538308,1.8221604,0.47497897,0.036235104,0.021311173,0.099366493,0.018868192,0.55941157,2.5691405
0.8977139,1.6264116,0.62823984,0.036499939,0.019096786,0.097784715,0.015166475,0.78600981,2.7861498
0.97845533,1.3516352,0.33558127,0.04538117,0.0177597,0.034299746,0.011894661,0.49908934,2.3999861
0.97602244,1.3568201,0.39926154,0.033978199,0.014476825,0.083918401,0.015759169,0.71342293,2.5459739
