beta_I,beta_FR,phi0,theta_N,alpha,gamma_comm,delta_C,phi_obs,R0,R0_B,R0_N,rho_N,trM,detM
0.81973978,1.7999586,0.51836389,0.034379365,0.023096808,0.07914951,0.010177228,0.46270663,2.4134471,1.6292789,3.3434939,2.7239559,2.5178661,0.25200966
0.78756807,1.6375025,0.51302891,0.02630832,0.013251027,0.08669941,0.010221648,0.61987209,2.3392752,1.5707849,3.2565609,2.682149,2.4356367,0.22541623
0.82768746,1.5946959,0.56108449,0.035362278,0.02386321,0.086610977,0.01571755,0.60931524,2.4778108,1.6437293,3.2897385,2.7420928,2.5672795,0.22168645
0.83071604,1.6708607,0.45035652,0.030494452,0.020983688,0.070303705,0.010363768,0.55933166,2.3233485,1.6492358,3.3725027,2.7921737,2.4253203,0.23691609
0.79463163,1.8661234,0.61220874,0.043097081,0.019577688,0.083877387,0.014130828,0.6357447,2.4809699,1.5836277,3.2052538,2.5755123,2.5764014,0.23676252
0.78704089,1.7444655,0.61783741,0.035105811,0.012822684,0.088032844,0.015039139,0.57007587,2.4943464,1.5698264,3.21038,2.6109473,2.5834218,0.22218485
0.80963175,1.7534631,0.56998922,0.040774568,0.03038782,0.078466067,0.013261942,0.53403035,2.4408562,1.6109007,3.2357937,2.6409886,2.5370722,0.23484939
0.79344841,1.7555568,0.51139421,0.0262646,0.016561912,0.06348306,0.011601039,0.72160834,2.3668191,1.5814764,3.3182409,2.7023528,2.4696477,0.24337664
0.79469716,1.7018471,0.52619935,0.027447644,0.020624286,0.071430748,0.011096429,0.64971071,2.3841602,1.5837469,3.2922507,2.6968877,2.4827605,0.2350789
0.84245053,1.7399677,0.44908739,0.037666947,0.019856451,0.072237958,0.011949323,0.47113074,2.3263508,1.6705712,3.3659707,2.7715793,2.4319538,0.24566944
0.84315714,1.1681106,0.48554559,0.041330593,0.02128152,0.094939178,0.011921489,0.60408171,2.3133583,1.671856,3.1401922,2.7444432,2.3848002,0.16527062
0.80405867,1.9181577,0.60997097,0.037417679,0.010538059,0.079562542,0.011233734,0.57285918,2.5416694,1.6007678,3.3043558,2.6487205,2.639907,0.2496875
0.81851147,1.7720134,0.51743921,0.040427001,0.020274271,0.070437737,0.010967772,0.53604759,2.3762999,1.6270456,3.2738128,2.672245,2.4791476,0.24439689
0.78933994,1.9401396,0.48814705,0.025944615,0.049719171,0.093094692,0.01195252,0.61342585,2.3372002,1.5740065,3.3722624,2.6910973,2.4518198,0.26788896
0.87232533,1.3237321,0.47312744,0.04211752,0.01087604,0.085781676,0.01008882,0.50177941,2.3794475,1.724889,3.2793473,2.8316639,2.4603459,0.19249339
0.7884493,1.7344264,0.60661064,0.034770289,0.021328198,0.077534201,0.010114792,0.49398358,2.4782571,1.5723872,3.2145866,2.6181427,2.5685628,0.22380084
0.85017722,1.8158832,0.42929703,0.034848406,0.019021739,0.080869185,0.014223965,0.71141751,2.3294549,1.6846197,3.4443722,2.8200289,2.4400762,0.2576875
0.83967921,1.7863338,0.52102056,0.041699232,0.027520552,0.085649478,0.011575068,0.64731586,2.4320457,1.6655325,3.3350618,2.730362,2.5353916,0.25134177
0.79180972,1.9198321,0.56795553,0.035080019,0.011886079,0.072663132,0.010202728,0.6142877,2.4440149,1.578497,3.2865077,2.6267764,2.5485711,0.25553691
0.78779231,1.807021,0.532818,0.038538305,0.032922879,0.080188946,0.01005883,0.53796841,2.3378202,1.5711926,3.2034462,2.58737,2.4408867,0.24095106
0.77845312,1.9797221,0.56576191,0.032895353,0.015726283,0.052305291,0.010100095,0.57708015,2.4248623,1.5542123,3.2834172,2.5996588,2.5325306,0.26108061
0.81513176,1.7987246,0.53313272,0.036377166,0.026938326,0.090849087,0.010909826,0.63333132,2.4181735,1.6209007,3.3092075,2.6929318,2.5209923,0.24863387
0.81501105,1.8026308,0.54494723,0.032293236,0.024750245,0.087926864,0.010702818,0.64065241,2.4605225,1.6206812,3.3486963,2.725229,2.5623583,0.2505691
0.79729189,1.8378226,0.49813364,0.016685737,0.017179069,0.086181505,0.015931098,0.60139217,2.410488,1.5884646,3.4569502,2.7969391,2.5192201,0.26209742
0.78809734,1.5348939,0.54304556,0.024462751,0.017971962,0.089701045,0.010262194,0.49364288,2.3893271,1.5717472,3.2398567,2.6990477,2.4776067,0.21092876
0.8771542,2.0390222,0.49324669,0.047324035,0.012088561,0.096296926,0.013670437,0.60584835,2.479137,1.7336688,3.4865954,2.8048955,2.5982941,0.29540658
0.84986268,1.9548471,0.47495293,0.04184776,0.015650939,0.093441788,0.012424982,0.68084573,2.3941049,1.6840478,3.4233707,2.7618467,2.5101443,0.27781064
0.84687141,1.7435536,0.50060616,0.028777966,0.011993573,0.08954994,0.010279901,0.66837,2.4715247,1.6786092,3.468751,2.8607195,2.5747652,0.25516146
0.82093088,1.7916802,0.47576078,0.044619563,0.016115592,0.077733319,0.010339637,0.57783469,2.2949051,1.6314446,3.2505403,2.6479595,2.4017468,0.2451917
0.83064936,1.456552,0.46452081,0.033337518,0.014041487,0.058163144,0.010279666,0.56991382,2.3133507,1.6491145,3.2708893,2.7683401,2.4024626,0.20614708
0.80397172,1.4068795,0.45008278,0.041683095,0.020439967,0.07151819,0.010088405,0.47139523,2.1856174,1.6006097,3.092192,2.6159258,2.2719452,0.18867962
0.80693925,1.682097,0.49081653,0.034957412,0.017643124,0.059816192,0.010019119,0.62341676,2.3153922,1.6060052,3.255534,2.6773348,2.4156212,0.23206944
0.80540375,1.8371397,0.50452292,0.039514374,0.014531349,0.072176558,0.010032855,0.67616097,2.3327037,1.6032134,3.2619329,2.6369709,2.4400754,0.25046637
0.81958187,2.4974699,0.54737481,0.027642948,0.011346102,0.080113335,0.011154549,0.59245352,2.6009321,1.6289918,3.6521958,2.7789029,2.7364427,0.35245393
0.769554,1.3560022,0.60866312,0.026486603,0.015354318,0.060120161,0.013592778,0.72194407,2.413785,1.5380321,3.0954048,2.6199417,2.4859474,0.17418469
0.7902891,2.259879,0.53264771,0.038254845,0.023284385,0.078681613,0.011533318,0.43015157,2.4049331,1.5757323,3.3685654,2.5975982,2.5306807,0.3024146
0.82673595,1.8343191,0.45227476,0.037950737,0.01632781,0.073199534,0.014523941,0.60088978,2.301296,1.6419993,3.3444653,2.718247,2.4119817,0.25472046
0.84044193,1.5825369,0.53103995,0.037932881,0.026495108,0.092179159,0.010361541,0.51739935,2.4440737,1.6669192,3.3031827,2.7628984,2.5358405,0.22428486
0.8323016,1.4859109,0.43669593,0.039349019,0.010904131,0.09680462,0.017457445,0.56086671,2.2502175,1.6521186,3.2308537,2.7251845,2.3415458,0.20550849
0.87790864,1.4618929,0.47306375,0.04669623,0.010644949,0.073859253,0.010326305,0.53909421,2.3875205,1.7350405,3.30172,2.8122974,2.4761798,0.21167589
0.819118,1.6023321,0.49870564,0.033828718,0.014360317,0.089208464,0.010197479,0.68749343,2.3558115,1.6281484,3.2785703,2.7263519,2.4512231,0.22477186
0.81896151,1.4218759,0.44445708,0.049228551,0.024248184,0.088354693,0.019030158,0.45379463,2.1866567,1.6278639,3.0808998,2.607497,2.273676,0.19028144
0.89281123,1.9714488,0.44925429,0.028841379,0.01316879,0.075092115,0.010596801,0.57406092,2.5141041,1.7621361,3.7012994,3.0138968,2.6333135,0.299705
0.83156225,1.5884534,0.4281689,0.056029942,0.017052739,0.084266175,0.016948326,0.53645328,2.1827644,1.6507743,3.1186596,2.5974398,2.2792772,0.2106646
0.84025383,1.9915666,0.56085634,0.024002726,0.021123793,0.079909853,0.010457985,0.48702652,2.6316993,1.6665772,3.5827392,2.8802455,2.7412688,0.28835409
